Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.01685,0.00094185,0.10995,0,0,0,22.81,0.48422,-2.2573E-05,-0.00012718,0.48143,2.839E-06,0.94153,0,0,0,0,0,0,package://xpkg_urdf_ark/meshes/base_link.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://xpkg_urdf_ark/meshes/base_link.STL,,ark-01-09-B-1;ark-01-08-A-1;6.装配组装04-1/5.装配组装03-1/4.装配组装02-1/3.装配组装01-1/ark-01-11-D-1;6.装配组装04-1/4-前脸x1-1/ark-01-02-A-1;6.装配组装04-1/ark-01-05-B-1;6.装配组装04-1/ark-01-04-A-1;6.装配组装04-1/5.装配组装03-1/4.装配组装02-1/3.装配组装01-1/ark-01-07-B-1;ark-01-01-B-1;6.装配组装04-1/5.装配组装03-1/4.装配组装02-1/3.装配组装01-1/ARK-03-01-A-1;6.装配组装04-1/4-前脸x1-1/充电装饰盖v1.2-1;6.装配组装04-1/5.装配组装03-1/4-充电模块总装x1-1/CDZ-ECHO-02-03-C-7;6.装配组装04-1/5.装配组装03-1/4-充电模块总装x1-1/CDZ-ECHO-02-03-C-8;6.装配组装04-1/5.装配组装03-1/4-充电模块总装x1-1/EP-02-05-A-1;6.装配组装04-1/5.装配组装03-1/触碰-1;6.装配组装04-1/5.装配组装03-1/ark-05-01-A-3;6.装配组装04-1/5.装配组装03-1/4.装配组装02-1/1-前摇臂x1-1/ARK-02-01-A-1;6.装配组装04-1/5.装配组装03-1/4.装配组装02-1/2-右腿x1-1/ARK-02-03-C-1;6.装配组装04-1/5.装配组装03-1/4.装配组装02-1/2-右腿x1-1/SHA1020_b__-2;6.装配组装04-1/5.装配组装03-1/4.装配组装02-1/2-右腿x1-1/SHA1020_b__-1;6.装配组装04-1/5.装配组装03-1/4.装配组装02-1/2-左腿x1-1/SHA1020_b__-2;6.装配组装04-1/5.装配组装03-1/4.装配组装02-1/2-左腿x1-1/SHA1020_b__-1;6.装配组装04-1/5.装配组装03-1/YW1B-M4E01-1/YW1B-M4E01-BODY-1;6.装配组装04-1/5.装配组装03-1/YW1B-M4E01-2/YW1B-M4E01-BODY-1;6.装配组装04-1/ark-01-03-A-1;6.装配组装04-1/ark-01-06-B-1;6.装配组装04-1/5.装配组装03-1/航插接头LP16-4-1;6.装配组装04-1/5.装配组装03-1/航插接头LP20-4-1;6.装配组装04-1/5.装配组装03-1/LW26GS20-1;6.装配组装04-1/5.装配组装03-1/内装式电量显示__-1;6.装配组装04-1/5.装配组装03-1/航插接头LP16-4-3;6.装配组装04-1/5.装配组装03-1/JY6P航插-母头-1;超声波面盖___ - 40-1;6.装配组装04-1/5.装配组装03-1/触碰-3;6.装配组装04-1/5.装配组装03-1/ark-05-01-A-1;6.装配组装04-1/5.装配组装03-1/ark-05-01-A-4;6.装配组装04-1/5.装配组装03-1/ark-05-01-A-2;6.装配组装04-1/5.装配组装03-1/4.装配组装02-1/2-左腿x1-1/ARK-02-04-C-1,base_axis,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_lw,2.3585E-08,-0.048308,-7.3317E-05,0,0,0,0.82641,0.0010589,-3.6959E-10,1.2701E-08,0.0014428,3.042E-08,0.0010565,0,0,0,0,0,0,package://xpkg_urdf_ark/meshes/link_lw.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://xpkg_urdf_ark/meshes/link_lw.STL,,6.装配组装04-1/5.装配组装03-1/4.装配组装02-1/2-左腿x1-1/电机中菱-1,axis_l,line_l,joint_lw,continuous,0,0.2365,0.0645999999999994,0,0,0,base_link,0,1,0,,,,,,,,,,,,
link_rw,-7.3313E-05,0.048308,7.5595E-07,0,0,0,0.82641,0.0010565,-3.0415E-08,3.7059E-08,0.0014428,6.7343E-10,0.0010589,0,0,0,0,0,0,package://xpkg_urdf_ark/meshes/link_rw.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://xpkg_urdf_ark/meshes/link_rw.STL,,6.装配组装04-1/5.装配组装03-1/4.装配组装02-1/2-右腿x1-1/电机中菱-1,axis_r,line_r,joint_rw,continuous,0,-0.2365,0.0645999999999994,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
link_fucl,0.010603,-0.00047384,-0.035048,0,0,0,0.060047,4.9536E-05,7.0829E-07,1.757E-05,5.4338E-05,-1.1867E-06,4.0076E-05,0,0,0,0,0,0,package://xpkg_urdf_ark/meshes/link_fucl.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://xpkg_urdf_ark/meshes/link_fucl.STL,,6.装配组装04-1/5.装配组装03-1/4.装配组装02-1/1-前摇臂x1-1/C-CJFN75-T-2/C-CJFN75-T_b-1,axis_ufl,line_ufl,joint_fucl,continuous,0.2095,0.163,0.11396325,0,0,0,base_link,0,0,1,,,,,,,,,,,,
link_fclw,5.5511E-17,-0.016,1.4572E-16,0,0,0,0.13673,5.6735E-05,-7.0529E-20,-4.2358E-12,8.8555E-05,5.664E-22,5.6744E-05,0,0,0,0,0,0,package://xpkg_urdf_ark/meshes/link_fclw.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://xpkg_urdf_ark/meshes/link_fclw.STL,,6.装配组装04-1/5.装配组装03-1/4.装配组装02-1/1-前摇臂x1-1/C-CJFN75-T-2/C-CJFN75-T_w-1,axis_fl,line_fl,joint_fclw,continuous,0.0355,0.016,-0.07676325,0,0,0,link_fucl,0,1,0,,,,,,,,,,,,
link_fucr,0.010603,-0.00047384,-0.035048,0,0,0,0.060047,4.9536E-05,7.0829E-07,1.757E-05,5.4338E-05,-1.1867E-06,4.0076E-05,0,0,0,0,0,0,package://xpkg_urdf_ark/meshes/link_fucr.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://xpkg_urdf_ark/meshes/link_fucr.STL,,6.装配组装04-1/5.装配组装03-1/4.装配组装02-1/1-前摇臂x1-1/C-CJFN75-T-1/C-CJFN75-T_b-1,axis_ufr,line_ufr,joint_fucr,continuous,0.209500000000001,-0.163,0.11396325,0,0,0,base_link,0,0,1,,,,,,,,,,,,
link_fcrw,5.5511E-17,-0.016,1.1796E-16,0,0,0,0.13673,5.6735E-05,-6.4903E-20,-4.2358E-12,8.8555E-05,-7.0687E-21,5.6744E-05,0,0,0,0,0,0,package://xpkg_urdf_ark/meshes/link_fcrw.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://xpkg_urdf_ark/meshes/link_fcrw.STL,,6.装配组装04-1/5.装配组装03-1/4.装配组装02-1/1-前摇臂x1-1/C-CJFN75-T-1/C-CJFN75-T_w-1,axis_fr,line_fr,joint_fcrw,continuous,0.0355,0.016,-0.07676325,0,0,0,link_fucr,0,1,0,,,,,,,,,,,,
link_bucl,-0.010603,0.00047384,-0.035048,0,0,0,0.060047,4.9536E-05,7.0829E-07,-1.757E-05,5.4338E-05,1.1867E-06,4.0076E-05,0,0,0,0,0,0,package://xpkg_urdf_ark/meshes/link_bucl.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://xpkg_urdf_ark/meshes/link_bucl.STL,,6.装配组装04-1/5.装配组装03-1/4.装配组装02-1/2-左腿x1-1/C-CJFN75-T-1/C-CJFN75-T_b-1,axis_ubl,line_ubl,joint_bucl,continuous,-0.215,0.17,0.113963249999999,0,0,0,base_link,0,0,1,,,,,,,,,,,,
link_bclw,0,-0.016,1.1102E-16,0,0,0,0.13673,5.6735E-05,-1.4772E-20,4.2358E-12,8.8555E-05,4.577E-21,5.6744E-05,0,0,0,0,0,0,package://xpkg_urdf_ark/meshes/link_bclw.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://xpkg_urdf_ark/meshes/link_bclw.STL,,6.装配组装04-1/5.装配组装03-1/4.装配组装02-1/2-左腿x1-1/C-CJFN75-T-1/C-CJFN75-T_w-1,axis_bl,line_bl,joint_bclw,continuous,-0.0355,0.016,-0.07676325,0,0,0,link_bucl,0,-1,0,,,,,,,,,,,,
link_bucr,-0.010603,0.00047384,-0.035048,0,0,0,0.060047,4.9536E-05,7.0829E-07,-1.757E-05,5.4338E-05,1.1867E-06,4.0076E-05,0,0,0,0,0,0,package://xpkg_urdf_ark/meshes/link_bucr.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://xpkg_urdf_ark/meshes/link_bucr.STL,,6.装配组装04-1/5.装配组装03-1/4.装配组装02-1/2-右腿x1-1/C-CJFN75-T-1/C-CJFN75-T_b-1,axis_ubr,line_ubr,joint_bucr,continuous,-0.215,-0.17,0.113963249999999,0,0,0,base_link,0,0,1,,,,,,,,,,,,
